id,created_at,lang,source,like,retweet,hashtags0,hashtags1,hashtags2
1544726673899274241,2022-07-06 16:55,fr,Hootsuite Inc.,0,0,Covid19,,Restons_vigilants
1544726237821771778,2022-07-06 16:53,fr,Twitter for iPhone,0,0,COVID19,,
1544725227296489472,2022-07-06 16:49,fr,Twitter Web App,0,0,COUSP,,Burundi
1544725211915984898,2022-07-06 16:49,fr,Twitter Web App,1,0,COVID19,,Burundi
1544725091820470274,2022-07-06 16:48,fr,Twitter for iPhone,0,0,climat,covid19,
1544724727297724416,2022-07-06 16:47,fr,Twitter Web App,0,1,Québec,,
1544723897416835074,2022-07-06 16:44,fr,Twitter Web App,0,0,Vérité,,Québec
1544723614855036930,2022-07-06 16:43,fr,Twitter for iPhone,0,0,covid19,,
1544723585918537728,2022-07-06 16:42,fr,Twitter for Android,3,1,Covid19,,
1544723570030411776,2022-07-06 16:42,fr,Twitter for iPhone,3,1,Rwanda,Covid19,
1544723279176425472,2022-07-06 16:41,fr,Twitter for iPhone,0,0,COVID19,,
1544723177393242116,2022-07-06 16:41,fr,Twitter Web App,0,0,Catastrophe,COVID19,
1544723155494883330,2022-07-06 16:41,fr,Twitter for Android,0,0,COVID19,,
1544723150369333250,2022-07-06 16:41,fr,Twitter for Android,8,2,COVID19,enfants,
1544723001727492097,2022-07-06 16:40,fr,Twitter for Android,0,0,COVID19,,
1544722856893992963,2022-07-06 16:40,fr,Nonli,0,1,COVID19,,
1544722705651474434,2022-07-06 16:39,fr,Twitter Web App,1,0,COVID19,,
1544722623145328640,2022-07-06 16:39,fr,Twitter for iPhone,72,32,COVID19,,
1544722488642387969,2022-07-06 16:38,fr,Twitter for Android,0,0,COVID19,RyanCole,
1544722294651715588,2022-07-06 16:37,fr,Twitter Web App,0,0,COVID19,,
1544721658681954304,2022-07-06 16:35,fr,Twitter for iPhone,0,0,covid19,,
1544721566063333376,2022-07-06 16:34,fr,Twitter Web App,5,9,Covid19,,
1544721070460223489,2022-07-06 16:32,fr,Twitter for Android,3,2,Absurdistan,Covid19,
1544721069126389760,2022-07-06 16:32,fr,Twitter for iPhone,0,0,covid19,,
1544720862649122817,2022-07-06 16:32,fr,Twitter for Android,0,0,COVID19,,
1544720845515489283,2022-07-06 16:32,fr,Buffer,0,0,Covid19,,
1544720200343646209,2022-07-06 16:29,fr,Twitter Web App,1,0,FaceAuxJeunes,COVID19,
1544719490348351490,2022-07-06 16:26,fr,Twitter for iPhone,5,3,Japon,,Avion
1544719329425514496,2022-07-06 16:26,fr,Paper.li,0,0,covid19,ia,
1544719009756565504,2022-07-06 16:24,fr,Zoho Social,0,0,Covid19,,Politique
1544718701647241216,2022-07-06 16:23,fr,Twitter Web App,2,2,Covid19,Omicron,
1544718696995766273,2022-07-06 16:23,fr,Twitter Web App,4,7,Covid19,,
1544718190848217088,2022-07-06 16:21,fr,Twitter for Android,0,1,AE,,Inflation
1544717908865159170,2022-07-06 16:20,fr,Twitter Web App,0,0,COVID19,,
1544717699791704064,2022-07-06 16:19,fr,Twitter for Android,0,0,COVID19,BraunLaHonte,
1544717236782465024,2022-07-06 16:17,fr,Twitter Web App,2,0,COVID19,RDC,
1544716707880648705,2022-07-06 16:15,fr,Twitter Web App,1,0,Covid19,ComeBack,
1544716590326882304,2022-07-06 16:15,fr,Twitter Web App,2,0,Scandale,,
1544716553223933952,2022-07-06 16:15,fr,Twitter Web App,7,5,Covid19,OnCompteSurVous,
1544716349187964928,2022-07-06 16:14,fr,Twitter for Android,6,2,crisesanitaire,,
1544715817526431744,2022-07-06 16:12,fr,Echobox,1,1,COVID19,,
1544715169456164865,2022-07-06 16:09,fr,Twitter for iPhone,1,0,Davos,COVID19,
1544715082231435264,2022-07-06 16:09,fr,Twitter Web App,0,1,COVID19,,Europe
1544714435931111424,2022-07-06 16:06,fr,Twitter for Android,0,0,pfizer,COVID19,
1544713597921771521,2022-07-06 16:03,fr,Twitter Web App,2,0,covid19,CoronaInfoCH,
1544713399648632832,2022-07-06 16:02,fr,CoSchedule,0,0,Transformationdigitale,COVID19,
1544713318992166912,2022-07-06 16:02,fr,Artur'In,0,0,SantéMentale,,
1544713254261477376,2022-07-06 16:01,fr,Twitter Web App,14,16,COVID19,,
1544713166201962496,2022-07-06 16:01,fr,Twitter Web App,0,0,Covid19,4edose,
1544713147151417345,2022-07-06 16:01,fr,Twitter for Android,7,1,Covid19,AutodefenseSanitaire,
1544712983196143616,2022-07-06 16:00,fr,Canva,1,0,UkraineRussiaWar,,
1544712890787106816,2022-07-06 16:00,fr,Twitter for iPhone,0,0,COVID19,,corruption
1544712871229153280,2022-07-06 16:00,fr,quarantineOpportunity,0,0,confinement,covid19,
1544712786835488769,2022-07-06 16:00,fr,Twitter Media Studio,8,5,COVID19,,
1544712311901913088,2022-07-06 15:58,fr,Twitter for Android,0,1,Braun,,COVID19
1544711238646730754,2022-07-06 15:53,fr,Twitter Web App,20,9,COVID19,,
1544711200042360833,2022-07-06 15:53,fr,Twitter Web App,0,0,COVID19,,France
1544711016356913153,2022-07-06 15:53,fr,Twitter Web App,0,0,COVID19,,
1544710731270164486,2022-07-06 15:51,fr,Twitter Web App,0,1,COVID19,,
1544709584719331330,2022-07-06 15:47,fr,Twitter Web App,0,0,Luxembourg,,COVID19
1544709264232648704,2022-07-06 15:46,fr,Twitter Web App,0,0,icine,COVID19,
1544708088208424960,2022-07-06 15:41,fr,Sprout Social,28,5,COVID19,,
1544707987142582273,2022-07-06 15:40,fr,Twitter Web App,1,0,Schwab,,COVID19
1544707666085396482,2022-07-06 15:39,fr,Twitter Web App,1,1,COVID19,,
1544707652424433669,2022-07-06 15:39,fr,Twitter Web App,0,1,COVID19,,
1544707517195776000,2022-07-06 15:39,fr,dlvr.it,1,0,Covid19,Omicron,
1544707503836971008,2022-07-06 15:39,fr,dlvr.it,0,0,Covid19,Omicron,
1544706976986324992,2022-07-06 15:36,fr,Twitter Web App,1,1,DirectAN,,PJLSanitaire
1544706742981910530,2022-07-06 15:36,fr,Twitter Web App,0,0,COVID19,vaccins,
1544706378899623936,2022-07-06 15:34,fr,Twitter for iPhone,11,3,COVID19,,
1544706141174632448,2022-07-06 15:33,fr,Hootsuite Inc.,1,0,Covid19,,Restons_vigilants
1544705611316793347,2022-07-06 15:31,fr,Twitter Web App,2,0,covid19,,
1544705412762583042,2022-07-06 15:30,fr,TweetDeck,0,0,NoovoInfo,,Quebec
1544704774163013634,2022-07-06 15:28,fr,Twitter for Android,0,0,Chine,Covid19,
1544704012406120449,2022-07-06 15:25,fr,Twitter Web App,2,1,Covid19,,
1544703952104706048,2022-07-06 15:24,fr,Twitter Web App,0,0,réfugiés,,
1544703723288645632,2022-07-06 15:24,fr,Twitter Web App,15,8,Covid19,Covid19,
1544703456598007808,2022-07-06 15:22,fr,Twitter for iPhone,0,0,COVID19,EnMemeTemps,
1544703420526911488,2022-07-06 15:22,fr,Twitter for Android,0,0,covid19,TikTok,
1544703371747246080,2022-07-06 15:22,fr,Twitter Web App,10,6,Covid19,,
1544703203744391169,2022-07-06 15:21,fr,Hootsuite Inc.,0,1,covid,covid19,
